,title,genres,synopsis
33,A-Channel: +A-Channel,"['Comedy', 'School', 'Slice of Life', 'Seinen']",Extra specials from the DVD/BDs.
34,A-Channel+smile,"['Comedy', 'School', 'Seinen', 'Slice of Life']","Following the everyday lives of four high school girls: the flighty Run, the reckless Tooru, the timid Yuuko, and the level-headed Nagi.

Mountain of Pancakes
Kitou-sensei injures her hand during class and has to deal with it while Tooru brings cat Tansan to school with her to meet Yutaka and Miho. Later, the girls decide to get pancakes at a café where Miho happens to be working, facing trouble when Yutaka shows up out of the blue.

A Picture of a Wish
Yuuko catches a cold so the others pay her a visit and help look after her. Later, the girls get together for the New Year's shrine visit.

(Source: Wikipedia)"
35,A-Channel,"['Comedy', 'School', 'Seinen', 'Slice of Life']","Tooru and Run have been best friends forever, so when Tooru learns that she's managed to get into the same high school as Run, she runs to tell her... only to find Run in a compromising position with yet another girl, Yuko. Needless to say, that makes things a bit awkward at school, with Tooru fending off those who might be interested in Run while Yuko and their other girlfriend, Nagi, have to deal with Run's own penchant for drama.

(Source: Sentai Filmworks)"
36,A.I.C.O.: Incarnation,"['Action', 'Sci-Fi']","In 2035, an incident known as “The Burst” occurs at a Japanese research facility, giving birth to the rapidly expanding, consuming, and self-replicating ""Matter."" Snaking its way through the remains of dams and military facilities in the Kurobe Gorge, the hostile Matter is besieged by task forces trying to prevent it from reaching the ocean and mercenaries seeking the truth behind its existence.

Aiko Tachibana lives under constant medical surveillance after being rescued from the Matter. She spends her days waiting out her recovery by making paper planes. Soon, her daily life at school is disturbed by the arrival of transfer student Yuuya Kanzaki, who proceeds to point out a number of inconsistencies regarding her body. Why is she never injured, and why does she suddenly no longer need her wheelchair? He claims that there is more to her existence than she has been led to believe, and that she alone holds the key to ending The Burst.

With many factions now interested in Aiko, she and Yuuya must gather allies and embark on a dangerous pilgrimage into the heart of the infested gorge before the net can close around them. To escape the conspiracy moving against them, the pair must face off against the Matter—an enemy that flows like water."
37,A3! Season Autumn & Winter,"['Slice of Life', 'Drama']","""Director! Please help us bloom!""

In Tokyo, there is a place called Velude Way. It is a district notorious for its performers and theatrical groups. Izumi Tachibana, who was previously a stage actress, arrives with a letter that reads, ""Full of debt! Zero customers! Only one actor!"" It describes the current state of the once-popular theater group Mankai Company. Her task is to rebuild the company to its former glory as the new owner and chief director.

(Source: MAL News)"
38,A3! Season Spring & Summer,"['Slice of Life', 'Drama']","""Director! Please help us bloom!""

In Tokyo, there is a place called Velude Way. It is a district notorious for its performers and theatrical groups. Izumi Tachibana, who was previously a stage actress, arrives with a letter that reads, ""Full of debt! Zero customers! Only one actor!"" It describes the current state of the once-popular theater group Mankai Company. Her task is to rebuild the company to its former glory as the new owner and chief director.

(Source: MAL News)"
39,Aa! Megami-sama! (TV),"['Comedy', 'Supernatural', 'Magic', 'Romance', 'Seinen']","In a world where humans can have their wish granted via the Goddess Help Hotline, a human, Keiichi Morisato, summons the Goddess Belldandy by accident and jokes that she should stay with him forever. Unfortunately for him, his ""wish"" is granted.

Suddenly, Keiichi is now living with this gorgeous woman all alone, causing him to be kicked out of the all-male dormitory he was staying in. But soon, after they find lodging in a Buddhist temple, Keiichi and Belldandy's relationship begins to blossom. Although they are both awkward and rather uncomfortable with one another at first, what awaits these two strangers could turn out to be an unexpected romance."
40,Aa! Megami-sama! Movie,"['Comedy', 'Magic', 'Romance', 'Seinen', 'Supernatural']","For centuries, a god named Celestin has been imprisoned on the moon for betraying the kingdom of Yggdrasil. Released by the fairy Morgan Le Fey, Celestin travels to Earth to reunite with his former pupil, the goddess Belldandy. Things go awry as Celestin erases Belldandy's memories of her boyfriend Keiichi and uses her as a catalyst to wreak havoc on Earth and Yggdrasil."
41,Aa! Megami-sama!: Sorezore no Tsubasa Specials,"['Comedy', 'Magic', 'Romance', 'Seinen', 'Supernatural']","When Keiichi found his grandpa's diary and saw a treasure map inside, Skuld and Urd started to feel a great urge to search it. With the company of his friends, Keiichi arrives to Honda Inn, the place indicated on the map. Once the party is inside, they meet Honda Chieko, who seems to share a certain promise with Keiichi. Apart from all that confusion, it's time for Keiichi to have enough courage to say the words ""I love you"" to Belldandy."
42,Aa! Megami-sama!: Sorezore no Tsubasa,"['Comedy', 'Magic', 'Romance', 'Seinen', 'Supernatural']","One year after goddess Belldandy emerged from Keiichi Morisato's mirror and promised to stay with him forever, a new threat to their happiness emerges, one that could end the contract between Belldandy and Keiichi."
43,Aa! Megami-sama!: Tatakau Tsubasa,"['Comedy', 'Magic', 'Romance', 'Seinen', 'Supernatural']","An Angel Eater has been freed in Heaven. Since Goddesses and Angels share body and soul, losing your angel results in going into shock for the Goddess. Lind goes to Earth to protect Belldandy and the others unknowing that it is a trap.

(Source: ANN)"
44,Aa! Megami-sama!,"['Comedy', 'Magic', 'Romance', 'Seinen', 'Supernatural']","When college student Keiichi Morisato dials the wrong number while ordering for some food at his dormitory, he accidentally gets connected to the Goddess Hotline and a beautiful goddess named Belldandy appears out of a mirror in front of him. After getting kicked out of the dorm, Keiichi and Belldandy move to an old shrine and soon afterwards, Belldandy's sisters Urd and Skuld move in."
45,Aachi wa Ssipak,"['Action', 'Comedy']","After the world ran out of all traditional energy sources, only one remained—human excrement. To encourage citizens to produce as much waste as possible, the government implants a chip in the anus at birth, which provides citizens with ""juicybars"" every time it detects defecation. Juicybars are highly addictive narcotics that sometimes transform their users into mutant blue dwarfs with extreme constipation. These mutant addicts make up the ""Diaper Gang,"" those who live underground and are focused on trying to obtain juicybars.

Aachi and Ssipak are two small-time crooks who steal and sell juicybars to make it on the streets. When they meet a beautiful woman who has the anal chips of every Diaper Gang member implanted in her, producing dozens of juicybars with every dump, Aachi and Ssipak strike it rich. However, with both the government and the Diaper Gang on their tails, the two struggle to protect their newfound riches."
46,Abenobashi Mahou☆Shoutengai,"['Comedy', 'Parody', 'Ecchi', 'Fantasy']","Satoshi ""Sasshi"" Imamiya believes his life is in shambles, as only a 12-year-old can. Having lost his card collection, his childish dilemmas worsen when he learns that his childhood friend, Arumi Asahina, will be moving away.

Suddenly, their issues are dashed aside for the surreal, and they find themselves transported away through bizarre worlds of science fiction, magic, and war. Any attempt to escape only catapults them into another alien land. Soon, the two come to a realization: every world is just a reimagining of their hometown. But there are two unfamiliar faces—the voluptuous Mune-mune and the elusive blue-haired Eutus—and they just might be the key to escaping their predicament.

Abenobashi Mahou☆Shoutengai follows Sasshi and Arumi's comedic exploits as they desperately attempt to return home. However, when the pair unravel a tale spanning generations, they begin to wonder if the cause of their situation is more personal than they thought. Is returning home truly what they desire?"
47,Absolute Duo,"['Action', 'Harem', 'Supernatural', 'Romance', 'Ecchi', 'School']","Individuals who can materialize weapons from their soul are called ""Blazers,"" and they attend Kouryou Academy High School in order to harness their abilities. Each student is required to partner with another, in the hopes that one day, the pair can attain the power of Absolute Duo.

Tooru Kokonoe hopes to attend this academy in order to gain power after his sister and friends were slain by a mysterious man. However, at the opening ceremony, he is forced to duel against the person sitting next to him, with the loser being expelled. As Tooru prepares to give the match his all, it is not a weapon that manifests from his soul, but a shield, an irregularity which catches the attention of a foreign student named Julie Sigtuna."
48,ACCA: 13-ku Kansatsu-ka - Regards,"['Mystery', 'Police', 'Drama', 'Fantasy', 'Seinen']","Set in the capital city of Badon one year after the events of the TV anime, Jean and the rest of the ACCA department are preparing for the one-year anniversary of the establishment of the new order. For the characters — caught between rumors of unrest, unchanging days, new crossroads, gazes remembered in memories, and days of new beginnings — time once again begins to move forward.

(Source: ANN)"
49,ACCA: 13-ku Kansatsu-ka,"['Mystery', 'Police', 'Drama', 'Fantasy', 'Seinen']","ACCA—a national body of the kingdom of Dowa that provides public services to the citizens of the country—was established as part of the peace settlement between the king of Dowa and the 13 states of the country during a revolt. One hundred years later, Dowa is in a period of unprecedented peace, due in part to the ACCA system. However, rumors of a coup d'état start to surface. Jean Otus, the second-in-command of the inspection department of ACCA, is charged with inspecting all 13 state branches. What will he discover as he performs his audit?

Intriguing and mysterious, ACCA: 13-ku Kansatsu-ka is a politically-themed mystery that reveals a world of diverse cultures and lifestyles, with intricate connections between its characters, as the truth of the coup d'état slowly unfolds."
50,Accel World: Infinite∞Burst,"['Action', 'Game', 'Sci-Fi', 'Romance', 'School']","In 2046, many aspects of life are carried out on a virtual network. No matter how advanced the time becomes, however, bullying never disappears. Haruyuki is one of the bullied students. However, one day he is contacted by Kuroyukihime, the most famous person in the school. ""Wouldn't you like to 'accelerate' and go further ahead, boy?"" Haruyuki is introduced to the ""Accel World"" and decides to fight as Kuroyukihime's knight.

(Source: Official site)"
51,Accel World,"['Action', 'Game', 'Sci-Fi', 'Romance', 'School']","Haruyuki Arita is an overweight, bullied middle schooler who finds solace in playing online games. But his life takes a drastic turn one day, when he finds that all his high scores have been topped by Kuroyukihime, the popular vice president of the student council. She then invites him to the student lounge and introduces him to ""Brain Burst,"" a program which allows the users to accelerate their brain waves to the point where time seems to stop. Brain Burst also functions as an augmented reality fighting game, and in order to get more points to accelerate, users must win duels against other players. However, if a user loses all their points, they will also lose access to Brain Burst forever.

Kuroyukihime explains that she chose to show Haruyuki the program because she needs his help. She wants to meet the creator of Brain Burst and uncover the reason of why it was created, but that's easier said than done; to do so, she must defeat the ""Six Kings of Pure Color,"" powerful faction leaders within the game, and reach level 10, the highest level attainable. After the girl helps Haruyuki overcome the bullies that torment him, he vows to help her realize her goal, and so begins the duo's fight to reach the top."
52,Acchi Kocchi (TV),"['Slice of Life', 'Comedy', 'Romance', 'School']","Feelings may come and go, but true love always remains in the heart. Tsumiki Miniwa is in love with her best friend, Io Otonashi. For her, confessing is nearly impossible; but to her friends, they seem to be the perfect match. Cute and petite, Tsumiki comes off more as a friend, and Io's attitude toward her is friendlier than toward others. Despite the constant teasing and obvious hints that his friends have been dropping, Io always seems to miss the signs.

Throughout her everyday school life, Tsumiki spends time with her friends and Io. Will she finally muster enough courage to confess her true feelings?"
53,Acchi Kocchi,['Dementia'],One of Yoji Kuri's short films.
54,Ace wo Nerae! (1979),"['Sports', 'Drama', 'Romance', 'School', 'Shoujo']","High school freshman Hiromi joins the tennis club because of her admiration for Ryuzaki. Ryuzaki is a senior, who's the best tennis player on the team and also nicknamed ""Ochoufujin"", (""Madame Butterfly""), because of her elegance on the tennis court. However, the new coach, Jin Munakata, wants the inexperienced Hiromi to play in a forthcoming tournament.

Due to this, Hiromi considers quitting tennis for good but, in the depth of her soul, she soon realizes that she loves tennis after all. She returns to the club and, under Munakata's coaching, her talent starts to bloom.

In the end, Hiromi develops a strong emotional bond with her coach, not knowing that Munakata is risking his life because of a chronic illness.

(Source: AnimeNfo)"
